iter	Passed	Remaining
0	1	103
1	1	80
2	2	71
3	2	63
4	3	60
5	3	58
6	4	57
7	5	59
8	5	57
9	6	57
10	6	56
11	7	54
12	8	53
13	8	52
14	9	53
15	10	52
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	47
22	13	46
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	16	41
29	17	41
30	18	40
31	18	40
32	19	39
33	19	38
34	20	37
35	20	37
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
